"IDCOMUNIDAD","NOMBRE","idCCAA_INE"
3,"GALICIA",12
99,"OTRO PAIS",99
1,"EUSKADI",16
2,"CATALUÑA",9
4,"ANDALUCIA",1
5,"ASTURIAS",3
6,"CANTABRIA",6
7,"LA RIOJA",17
8,"MURCIA",14
9,"C. VALENCIANA",10
10,"ARAGON",2
11,"CASTILLA-MANCHA",8
12,"CANARIAS",5
13,"NAVARRA",15
14,"EXTREMADURA",11
15,"ILLES BALEARS",4
16,"MADRID",13
17,"CASTILLA Y LEON",7
18,"CEUTA",18
19,"MELILLA",19
