"IDPIF","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2001240732","140","667.56","0","0","17","CASTILLA Y LEON","24","LEON","ASTORGA","STA COLOMBA DE SOMOZA","42.471136","-6.28866","2001-12-25","540","630","0","2","QUEMA PARA REG. PASTOS (SIN ESPECIFICAR)","3","0","0","0","0"
"2001490411","140","667.56","0","0","17","CASTILLA Y LEON","49","ZAMORA","PUEBLA DE SANABRIA","LUBIAN","42.051915","-6.891059","2001-12-17","660","660","1","4","PROVOCADOS POR CAZADORES PARA FACILITAR LA CAZA","2","0","0","0","0"
"2002310043","140","667.56","0","0","13","NAVARRA","31","NAVARRA","ZONA 1","DONEZTEBE/SANTESTEBAN","43.137902","-1.667848","2002-02-02","0","0","1","4","SIN DATOS","19","0","0","0","0"
"2003270692","140","667.56","0","0","3","GALICIA","27","LUGO","TERRA CHA","MEIRA","43.230244","-7.279792","2003-08-12","2470","5510","0","1","RAYO","66","22","4","0","197970"
"2004151714","140","667.56","0","0","3","GALICIA","15","A CORUÑA","SANTIAGO-MESETA INTERIOR","BRIÓN","42.826981","-8.687411","2004-06-17","1070","1170","1","4","PROVOCADOS POR VENGANZAS","50","7","2","0","41313"
"2004331740","140","667.56","0","0","5","ASTURIAS","33","ASTURIAS","NARCEA","CANGAS DEL NARCEA","43.105118","-6.550733","2004-10-03","2542","3428","1","4","SIN DATOS","28","2","3","0","48462"
"2005152100","140","667.56","0","0","3","GALICIA","15","A CORUÑA","BERGANTIÑOS-MARIÑAS COR","MALPICA DE BERGANTIÑOS","43.239877","-8.495225","2005-08-21","1713","1717","1","4","SIN DATOS","17","1","0","0","0"
"2005322889","140","667.56","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","VILARDEVÓS","42.138165","-7.940315","2005-08-16","605","715","1","4","SIN DATOS","50","9","5","0","0"
"2005390015","140","667.56","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 9","SELAYA","43.204153","-3.764838","2005-01-10","0","0","0","2","QUEMA PARA REG. PASTOS (SIN ESPECIFICAR)","1","0","0","20","6000"
"2006490201","140","667.56","0","0","17","CASTILLA Y LEON","49","ZAMORA","BERMILLO DE SAYAGO","SALCE","41.25707","-6.221284","2006-08-08","734","6134","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","81","7","5","14580","0"
"2007320835","140","667.56","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","MEZQUITA, A","42.01316","-7.016227","2007-11-02","470","530","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","23","0","3","0","0"
"2009020145","140","667.56","0","0","11","CASTILLA-MANCHA","2","ALBACETE","CENTRO","HIGUERUELA","39.024126","-1.520592","2009-06-14","1178","4455","0","3","MANIOBRAS MILITARES","50","5","3","0","0"
"2009240371","140","667.56","0","0","17","CASTILLA Y LEON","24","LEON","TRUCHAS","BENUZA","42.340497","-6.69416","2009-04-05","529","1352","0","2","QUEMA PARA REG. PASTOS (SIN ESPECIFICAR)","27","0","3","0","0"
"2009390186","140","667.56","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 10","SOBA","43.19793","-3.546782","2009-01-23","0","0","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","0","0","0","20098","9100"
"2010390020","140","667.56","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 10","SOBA","43.19793","-3.546782","2010-02-23","950","1880","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","27","3","1","677","20707"
"2004140009","139.88","667.27","0","0","4","ANDALUCIA","14","CORDOBA","VALLE DE LOS PEDROCHES","BELALCÁZAR","38.593444","-5.147935","2004-06-20","315","360","0","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","64","2","5","0","0"
"2001060148","139.43","666.2","0","0","14","EXTREMADURA","6","BADAJOZ","BADAJOZ-CENTRO","BADAJOZ","38.889466","-7.398155","2001-06-08","110","230","0","5","CAUSA DESCONOCIDA","27","4","0","0","0"
"2012430141","139.31","665.91","0","0","2","CATALUÑA","43","TARRAGONA","TERRA ALTA","PINELL BRAI, EL","41.040905","0.491722","2012-06-15","191","1850","0","5","CAUSA DESCONOCIDA","124","25","17","0","0"
"2002362570","139.17","665.58","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","COTOBADE","42.507269","-8.474541","2002-08-30","2050","2935","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","72","12","7","180989","251620"
"2002330638","139","665.17","0","0","5","ASTURIAS","33","ASTURIAS","NARCEA","CANGAS DEL NARCEA","43.105118","-6.550733","2002-02-02","270","780","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","4","1","0","0","32906"
"2006210080","139","665.17","0","0","4","ANDALUCIA","21","HUELVA","COSTA OCCIDENTAL","SAN SILVESTRE DE GUZMÁN","37.417893","-7.421312","2006-07-22","500","1160","0","2","TRABAJOS FORESTALES","105","13","3","0","0"
"2006450099","139","665.17","0","0","11","CASTILLA-MANCHA","45","TOLEDO","LA MANCHA","ALMONACID DE TOLEDO","39.751505","-3.898213","2006-06-28","523","979","0","6","INCENDIO REPRODUCIDO","54","9","2","0","3848"
