"idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16045,"CANALEJAS DEL ARROYO",5,2.5400
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34902,"VALLE DEL RETORTILLO",5,5.1800
10,"09","C. VALENCIANA",12,"CASTELLON",12073,"LUDIENTE",5,4.5100
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47157,"SARDON DE DUERO",5,4.9300
"07",17,"CASTILLA Y LEON",42,"SORIA",42003,"ADRADAS",5,5.5000
"02",10,"ARAGON",50,"ZARAGOZA",50057,"BREA DE ARAGÓN",5,5.8900
10,"09","C. VALENCIANA",12,"CASTELLON",12032,"BORRIANA/BURRIANA",5,0.8200
16,"01","EUSKADI","01","ALAVA","01016","BERNEDO",5,2.0200
"07",17,"CASTILLA Y LEON",42,"SORIA",42096,"GOMARA",5,1.5300
"02",10,"ARAGON",44,"TERUEL",44167,"OBÓN",5,84.1100
10,"09","C. VALENCIANA",46,"VALENCIA",46206,"QUESA",5,0.0900
11,14,"EXTREMADURA","06","BADAJOZ","06055","FUENTES DE LEÓN",5,7.0000
"02",10,"ARAGON",50,"ZARAGOZA",50023,"ALMONACID DE LA CUBA",5,1.2000
"09","02","CATALUÑA",17,"GIRONA",17147,"RIPOLL",5,0.4700
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34185,"TRIOLLO",5,3.9700
"01","04","ANDALUCIA","04","ALMERIA","04058","LÍJAR",5,6.3100
"01","04","ANDALUCIA",18,"GRANADA",18109,"JETE",5,1916.6400
17,"07","LA RIOJA",26,"LA RIOJA",26009,"ALESANCO",5,12.6700
"07",17,"CASTILLA Y LEON",40,"SEGOVIA",40182,"S MARTIN Y MUDRIAN",5,1.6500
10,"09","C. VALENCIANA",46,"VALENCIA",46123,"FAVARA",5,15.1600
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37186,"MATA DE LEDESMA LA",5,17.1900
"07",17,"CASTILLA Y LEON","09","BURGOS","09345","STA CRUZ DE LA SALCEDA",5,4.6500
"06","06","CANTABRIA",39,"CANTABRIA",39050,"PESAGUERO",5,16.4200
10,"09","C. VALENCIANA",46,"VALENCIA",46042,"AIELO DE MALFERIT",5,0.4600
"02",10,"ARAGON",50,"ZARAGOZA",50901,"BIEL",5,0.8200
"09","02","CATALUÑA",17,"GIRONA",17055,"COLOMERS",5,82.8700
"07",17,"CASTILLA Y LEON",49,"ZAMORA",49127,"MORALES DEL VINO",5,1.8500
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34134,"POLENTINOS",5,5.7500
"01","04","ANDALUCIA",18,"GRANADA",18053,"CORTES DE BAZA",5,3.9800
14,"08","MURCIA",30,"MURCIA",30038,"TORRES DE COTILLAS, LAS",5,4.9600
"07",17,"CASTILLA Y LEON","09","BURGOS","09434","VILLAGONZALO PEDERNALES",5,7.5000
"01","04","ANDALUCIA",23,"JAEN",23008,"ARQUILLOS",5,10.0600
"01","04","ANDALUCIA",14,"CORDOBA",14068,"VILLAHARTA",5,107.8000
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47089,"MELGAR DE ARRIBA",5,15.3800
"08",11,"CASTILLA-MANCHA","02","ALBACETE","02047","MASEGOSO",5,9.6100
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16085,"FRONTERA, LA",5,1.3000
10,"09","C. VALENCIANA","03","ALICANTE","03072","GAIANES",5,8.8100
"08",11,"CASTILLA-MANCHA",13,"CIUDAD REAL",13070,"PUERTO LÁPICE",5,29.1500
"02",10,"ARAGON",50,"ZARAGOZA",50010,"ALBERITE DE SAN JUAN",5,2.4600
"07",17,"CASTILLA Y LEON",42,"SORIA",42197,"VALDERRODILLA",5,1.1100
15,13,"NAVARRA",31,"NAVARRA",31052,"BELASCOÁIN",5,1.3000
"02",10,"ARAGON",22,"HUESCA",22151,"LOSCORRALES",5,7.9900
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19238,"RIOFRÍO DEL LLANO",5,12.0500
"09","02","CATALUÑA",43,"TARRAGONA",43091,"MONT-RAL",5,1.9000
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34228,"VILLANUÑO DE VALDAVIA",5,385.5800
"07",17,"CASTILLA Y LEON","09","BURGOS","09277","PUENTEDURA",5,9.2700
16,"01","EUSKADI",20,"GUIPUZCOA",20011,"ANTZUOLA",5,4.1700
"09","02","CATALUÑA",17,"GIRONA",17062,"ESCALA, L'",5,11.5200
"09","02","CATALUÑA","08","BARCELONA","08154","PACS DEL PENEDÈS",5,0.3600
16,"01","EUSKADI",20,"GUIPUZCOA",20020,"BEIZAMA",5,2.1500
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37198,"MONLERAS",5,10.0300
16,"01","EUSKADI","01","ALAVA","01004","ARTZINIEGA",5,3.9700
"07",17,"CASTILLA Y LEON","09","BURGOS","09259","PEDROSA DE RIO URBEL",5,3.4600
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47103,"OLIVARES DE DUERO",5,6.2900
"09","02","CATALUÑA",17,"GIRONA",17064,"ESPOLLA",5,2.9100
16,"01","EUSKADI","01","ALAVA","01062","ZAMBRANA",5,2.2100
"07",17,"CASTILLA Y LEON",49,"ZAMORA",49042,"CASTRONUEVO",5,18.1000
"02",10,"ARAGON",50,"ZARAGOZA",50022,"ALMOLDA, LA",5,3.1700
"02",10,"ARAGON",22,"HUESCA",22080,"CAPELLA",5,1.0100
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19259,"SOMOLINOS",5,1.1500
"07",17,"CASTILLA Y LEON","09","BURGOS","09058","BUNIEL",5,5.8400
16,"01","EUSKADI",20,"GUIPUZCOA",20007,"ALTZO",5,2.5500
10,"09","C. VALENCIANA","03","ALICANTE","03118","SAN FULGENCIO",5,3.2300
"08",11,"CASTILLA-MANCHA",45,"TOLEDO",45094,"MASCARAQUE",5,7.9800
"02",10,"ARAGON",50,"ZARAGOZA",50255,"TOBED",5,7.2100
"07",17,"CASTILLA Y LEON","09","BURGOS","09363","SASAMON",5,0.3100
"09","02","CATALUÑA",43,"TARRAGONA",43133,"ROQUETES",5,0.2800
11,14,"EXTREMADURA","06","BADAJOZ","06129","TÁLIGA",5,14.5500
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16010,"ALCÁZAR DEL REY",5,5.6900
"05",12,"CANARIAS",38,"S.C. TENERIFE",38015,"GARACHICO",5,0.0500
10,"09","C. VALENCIANA","03","ALICANTE","03081","XALÓ/JALÓN",5,5.5700
16,"01","EUSKADI",20,"GUIPUZCOA",20040,"HERNANI",5,4.3800
"09","02","CATALUÑA","08","BARCELONA","08124","MOLLET DEL VALLÈS",5,0.2900
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16128,"MONREAL DEL LLANO",5,25.6200
"07",17,"CASTILLA Y LEON",42,"SORIA",42145,"QUINTANAS DE GORMAZ",5,0.5200
"08",11,"CASTILLA-MANCHA",45,"TOLEDO",45160,"SEGURILLA",5,12.0000
"01","04","ANDALUCIA",29,"MALAGA",29094,"VÉLEZ-MÁLAGA",5,5.0900
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19310,"VALTABLADO DEL RÍO",5,0.2200
"07",17,"CASTILLA Y LEON","09","BURGOS","09051","BERLANGAS DE ROA",5,14.0500
"09","02","CATALUÑA","08","BARCELONA","08190","SALDES",5,0.0700
10,"09","C. VALENCIANA","03","ALICANTE","03026","BENIARBEIG",5,9.2300
"07",17,"CASTILLA Y LEON","09","BURGOS","09029","ATAPUERCA",5,4.4800
