"idcomunidad","comunidad","anio","num_incendios","supquemada","median_llegpmt","median_ctrl","median_ext"
9,"C. VALENCIANA",2009,423,2932.0600,20,70,160
9,"C. VALENCIANA",2010,326,5649.4800,25,70,165
9,"C. VALENCIANA",2011,413,2435.7700,23,84,178
9,"C. VALENCIANA",2012,465,56931.1500,22,82,173
9,"C. VALENCIANA",2013,305,1437.8300,23,82,193
10,"ARAGON",2001,330,4341.9100,20,65,162.5
10,"ARAGON",2002,275,1428.7300,25,80,167
10,"ARAGON",2003,309,1477.9300,24,70,158
10,"ARAGON",2004,405,1228.5100,20,70,150
10,"ARAGON",2005,643,2010.5000,20,70,150
10,"ARAGON",2006,377,2132.8600,25,70,160
10,"ARAGON",2007,401,1855.5000,25,70,165
10,"ARAGON",2008,345,2485.7600,20,60,135
10,"ARAGON",2009,436,13186.4900,27,69,155.5
10,"ARAGON",2010,335,1138.2500,25,60,135
10,"ARAGON",2011,435,895.5200,25,70,150
10,"ARAGON",2012,534,8241.7900,26,70.5,160
10,"ARAGON",2013,214,346.9300,30,64,141
11,"CASTILLA-MANCHA",2001,849,5896.4800,20,60,109
11,"CASTILLA-MANCHA",2002,941,6237.2200,25,60,110
11,"CASTILLA-MANCHA",2003,1035,10842.9900,20,55,110
11,"CASTILLA-MANCHA",2004,1349,5727.8000,20,51,94
11,"CASTILLA-MANCHA",2005,1073,22637.3000,24,60,120
11,"CASTILLA-MANCHA",2006,682,4609.0400,22,50,109.5
11,"CASTILLA-MANCHA",2007,692,2026.1900,24,53.5,105
11,"CASTILLA-MANCHA",2008,709,1974.6600,27,52,100
11,"CASTILLA-MANCHA",2009,893,8209.0900,22,53,113
11,"CASTILLA-MANCHA",2010,455,602.4800,23,49,105
11,"CASTILLA-MANCHA",2011,735,2175.8800,25,56,116
11,"CASTILLA-MANCHA",2012,1140,11770.7800,25,64,120
11,"CASTILLA-MANCHA",2013,818,4905.2000,26,65,118
12,"CANARIAS",2001,58,277.4700,15,72.5,152.5
12,"CANARIAS",2002,43,118.2000,15,45,93
12,"CANARIAS",2003,71,421.3900,20,55,168
12,"CANARIAS",2004,88,272.8300,18,75,186
12,"CANARIAS",2005,133,2143.1300,20,54,130
12,"CANARIAS",2006,99,1608.2400,21,59,146
12,"CANARIAS",2007,122,35743.5900,20,62.5,120.5
12,"CANARIAS",2008,132,425.5500,15,40,93
12,"CANARIAS",2009,120,3613.5300,15,40.5,100.5
12,"CANARIAS",2010,111,198.6800,18,40,106
12,"CANARIAS",2011,98,59.1200,15,52,120
12,"CANARIAS",2012,135,12399.3300,21,60,176
12,"CANARIAS",2013,99,219.8500,19,58,145
13,"NAVARRA",2002,41,171.8800,20,45,104
13,"NAVARRA",2003,125,225.0200,20,59,103
13,"NAVARRA",2004,102,108.1000,20.5,59,92
13,"NAVARRA",2005,670,1364.0200,18,37,89
13,"NAVARRA",2006,118,329.8300,20,46.5,74
13,"NAVARRA",2007,503,473.2600,16,50,79
13,"NAVARRA",2008,584,1110.8500,15,74,80
13,"NAVARRA",2009,666,1744.1200,17,68,87
13,"NAVARRA",2010,592,643.2800,17,60,80
13,"NAVARRA",2011,165,176.0600,21,69,91
13,"NAVARRA",2012,659,1675.6200,20,66,70
13,"NAVARRA",2013,257,351.7900,18,54,58
14,"EXTREMADURA",2001,1030,10976.5500,15,55,93.5
14,"EXTREMADURA",2002,957,10630.7600,15,60,100
14,"EXTREMADURA",2003,1180,32432.1300,15,60,100
14,"EXTREMADURA",2004,1426,15757.0800,15,60,100
14,"EXTREMADURA",2005,930,16808.6000,15,67,120
14,"EXTREMADURA",2006,671,6524.0200,15,60,120
14,"EXTREMADURA",2007,678,5905.0500,15,70,118.5
14,"EXTREMADURA",2008,824,2238.0800,20,80,156
14,"EXTREMADURA",2009,837,5691.6200,19,70,145
14,"EXTREMADURA",2010,545,2241.3400,15,75,153
14,"EXTREMADURA",2011,847,4067.7700,20,75,160
14,"EXTREMADURA",2012,1023,3436.9700,20,75,155
14,"EXTREMADURA",2013,637,5351.7800,20,85,185
